site_id,Baseline LSTM (No TL),Baseline LSTM (TL),Context-Aware Selective Learning,Deep Context LSTM (Always TL),Deep Context LSTM (No TL),Random Forest,Site-Hard Expert Selector,cell_id,cosine_similarity,months_used,delta_rmse_always_tl_vs_no_tl,delta_rmse_selective_tl_vs_no_tl,delta_rmse_oracle_tl_vs_no_tl,helped_by_always_tl,helped_by_selective_tl
30427,0.8143221735954285,0.807218611240387,0.7583662271499634,0.7540389895439148,0.8014463186264038,0.7656029288716624,0.8014463239218369,89709.0,0.34020707,77.0,-0.047407329082489014,-0.04308009147644043,5.295433092022961e-09,True,True
30474,0.6484019160270691,0.6152333617210388,0.7292411923408508,0.7565778493881226,0.7196804285049438,0.7388040637553199,0.7196804253483514,68092.0,0.23902103,74.0,0.03689742088317871,0.009560763835906982,-3.1565924318854854e-09,False,False
30578,1.2567583322525024,1.2464654445648193,1.291890263557434,1.2427197694778442,1.3811440467834473,1.34775698995557,1.34775698995557,67575.0,0.28054836,87.0,-0.13842427730560303,-0.08925378322601318,-0.03338705682787735,True,True
30586,0.8391842246055603,0.8262981176376343,0.8192147016525269,0.7675891518592834,0.7894852757453918,0.9261353450753844,0.9261353450753844,37373.0,0.2854405,81.0,-0.0218961238861084,0.02972942590713501,0.13665006932999257,True,False
30638,1.6830413341522217,2.0396695137023926,1.7467155456542969,1.6945518255233765,1.896627426147461,1.9677566984405213,1.9677566984405213,125300.0,0.45019642,42.0,-0.20207560062408447,-0.14991188049316406,0.07112927229306032,True,True
30656,0.8071560263633728,0.8327778577804565,0.8306489586830139,0.8930375576019287,0.8278759717941284,0.8080071329849337,0.8080071329849337,136768.0,0.34704858,59.0,0.06516158580780029,0.002772986888885498,-0.019868838809194767,False,False
30760,0.6237419247627258,0.6830950379371643,0.5822588205337524,0.6584641933441162,0.6831976771354675,0.6224222745955611,0.6584641831841449,11741.0,0.49497777,81.0,-0.02473348379135132,-0.10093885660171509,-0.024733493951322627,True,True
30788,1.0971481800079346,1.0693961381912231,1.20902681350708,1.1570435762405396,1.2270559072494507,1.2393644897941294,1.2270559160166086,10818.0,0.33335906,30.0,-0.07001233100891113,-0.018029093742370605,8.767157888556198e-09,True,True
30795,1.4308379888534546,1.4664055109024048,1.3582578897476196,1.3992589712142944,1.373289942741394,1.4268378727951658,1.3992589800573714,101998.0,0.26132113,84.0,0.02596902847290039,-0.015032052993774414,0.025969037315977328,False,True
30808,0.6653105616569519,0.6232351064682007,0.637454092502594,0.6205139756202698,0.6402694582939148,0.6748114622685513,0.6205139920232755,125300.0,0.2584405,73.0,-0.01975548267364502,-0.0028153657913208008,-0.019755466270639288,True,True
30832,2.1272127628326416,2.1061384677886963,1.997900128364563,2.0178334712982178,2.0825343132019043,2.045319710302689,2.045319710302689,118020.0,0.274078,74.0,-0.06470084190368652,-0.08463418483734131,-0.03721460289921508,True,True
30868,0.8994424343109131,0.8859254121780396,0.9281349778175354,0.9186730980873108,0.9054393172264099,0.9404540494680499,0.9054393411162349,54218.0,0.36919162,88.0,0.013233780860900879,0.02269566059112549,2.3889825007117338e-08,False,False
30919,2.651048421859741,2.629348039627075,2.5091283321380615,2.5760092735290527,2.5291588306427,2.5878865997875047,2.5878865997875047,67575.0,0.21049602,71.0,0.04685044288635254,-0.020030498504638672,0.05872776914480449,False,True
30981,1.522505760192871,1.518133521080017,1.4718732833862305,1.4462521076202393,1.467956304550171,1.7157867301153782,1.7157867301153782,91961.0,0.7754174,7.0,-0.02170419692993164,0.00391697883605957,0.2478304255652073,True,False
31008,2.1419754028320312,2.1720361709594727,2.2122254371643066,2.194549083709717,2.133572816848755,2.2047922736540584,2.133572938178015,61882.0,0.22366522,76.0,0.060976266860961914,0.07865262031555176,1.2132925997221378e-07,False,False
31022,0.8193667531013489,0.8787312507629395,0.8094070553779602,1.0675814151763916,1.0208690166473389,0.7992507088865157,0.7992507088865157,73539.0,0.3074694,73.0,0.046712398529052734,-0.21146196126937866,-0.22161830776082314,False,True
31032,1.3157451152801514,1.3582699298858643,1.5069868564605713,1.5469584465026855,1.63127601146698,1.4118951316809607,1.6312759952696203,10671.0,0.2321098,93.0,-0.08431756496429443,-0.12428915500640869,-1.6197359675729217e-08,True,True
31064,1.0418838262557983,0.9906785488128662,0.6304189562797546,0.6213493943214417,0.655899703502655,0.7039618064320273,0.6558996906440552,38645.0,0.22798221,80.0,-0.03455030918121338,-0.02548074722290039,-1.2858599851561792e-08,True,True
31247,1.365119457244873,1.4173858165740967,0.9717117547988892,1.1524806022644043,0.9446739554405212,0.9030078683664378,1.152480735157936,7271.0,0.6432886,26.0,0.20780664682388306,0.02703779935836792,0.2078067797174148,False,False
31257,0.8175306916236877,0.7899582386016846,0.8577419519424438,0.839749276638031,0.9498841166496277,0.8890656969732046,0.8890656969732046,16034.0,0.2953672,73.0,-0.11013484001159668,-0.09214216470718384,-0.0608184196764231,True,True
31324,1.8765668869018555,1.8931022882461548,1.8887653350830078,1.9513598680496216,2.014359712600708,1.8564264874837573,1.8564264874837573,132086.0,0.22564562,88.0,-0.06299984455108643,-0.1255943775177002,-0.15793322511695074,True,True
31343,1.2257200479507446,1.2217971086502075,1.2154998779296875,1.2958894968032837,1.264527678489685,1.2601976976056577,1.2601976976056577,68092.0,0.23565331,73.0,0.03136181831359863,-0.04902780055999756,-0.004329980884027362,False,True
31403,1.4608198404312134,1.5102262496948242,1.5172288417816162,1.554274320602417,1.5050806999206543,1.4029153705328978,1.5050805652127712,67575.0,0.28540343,77.0,0.049193620681762695,0.012148141860961914,-1.3470788307046178e-07,False,False
31425,1.307533621788025,1.2635388374328613,0.926561176776886,0.9062421917915344,0.9926977753639221,1.0762167830564335,1.0762167830564335,47390.0,0.2813055,97.0,-0.0864555835723877,-0.06613659858703613,0.08351900769251142,True,True
31482,1.068759560585022,1.0110615491867065,0.6141790151596069,0.7321685552597046,0.6869947910308838,0.6724422495892736,0.6724422495892736,64997.0,0.28520164,107.0,0.0451737642288208,-0.07281577587127686,-0.014552541441610223,False,True
31515,1.5051556825637817,1.4984772205352783,1.5457087755203247,1.5143941640853882,1.5155894756317139,1.666483695681375,1.5155894426923004,69646.0,0.33165225,75.0,-0.0011953115463256836,0.03011929988861084,-3.293941341908635e-08,True,False
31528,1.066726565361023,1.043344259262085,1.144301414489746,1.1049083471298218,1.1220735311508179,1.2230678348427124,1.104908337738793,44913.0,0.2993906,38.0,-0.017165184020996094,0.022227883338928223,-0.017165193412024937,True,False
31541,0.780324399471283,0.7965050935745239,0.7737412452697754,0.7416244149208069,0.8219066858291626,0.7394464525521777,0.7394464525521777,12080.0,0.2576436,84.0,-0.08028227090835571,-0.04816544055938721,-0.08246023327698493,True,True
31543,1.1820740699768066,1.2337889671325684,0.7568318247795105,1.0329034328460693,0.9416866898536682,0.6263705755759853,1.0329033994648376,73539.0,0.23873766,75.0,0.09121674299240112,-0.18485486507415771,0.09121670961116934,False,True
31567,0.6949567794799805,0.6671126484870911,0.679307222366333,0.6568571329116821,0.7200279235839844,0.7587453699309075,0.7587453699309075,89023.0,0.20472473,74.0,-0.06317079067230225,-0.04072070121765137,0.03871744634692309,True,True
31593,0.9704833030700684,0.9722552299499512,0.9898639917373657,0.9675208926200867,0.976800799369812,0.984407968359968,0.9768007949113249,137186.0,0.45063224,26.0,-0.009279906749725342,0.013063192367553711,-4.4584871350394906e-09,True,False
31631,0.9971351623535156,0.9480800032615662,0.7332957983016968,0.7835344672203064,0.6545335650444031,0.7626067390134594,0.783534452829006,67575.0,0.30669937,73.0,0.12900090217590332,0.0787622332572937,0.12900088778460295,False,False
31642,0.9189754128456116,0.9074205160140991,0.8967946171760559,0.9359259009361267,0.8962838053703308,1.0195897333138202,0.8962837676893792,38507.0,0.517167,20.0,0.0396420955657959,0.0005108118057250977,-3.7680951581187117e-08,False,False
31683,1.9804288148880005,2.032045602798462,2.0167863368988037,2.09393310546875,2.0513241291046143,2.1237715247356213,2.051324156970446,85490.0,0.271518,66.0,0.04260897636413574,-0.03453779220581055,2.7865831864204438e-08,False,True
31688,0.4312146008014679,0.4091496169567108,0.43107956647872925,0.427052766084671,0.49622154235839844,0.4115449741675009,0.4270527834868207,73539.0,0.27386406,74.0,-0.06916877627372742,-0.06514197587966919,-0.06916875887157775,True,True
31696,2.240635871887207,2.2876548767089844,2.176950216293335,2.2140395641326904,2.157193899154663,2.142091566484531,2.142091566484531,68092.0,0.21407597,89.0,0.056845664978027344,0.019756317138671875,-0.015102332670132057,False,False
31792,0.7187000513076782,0.7853431701660156,0.4834243059158325,0.7160152792930603,0.5464343428611755,0.4131543665047371,0.5464342996009737,44913.0,0.7480108,18.0,0.16958093643188477,-0.06301003694534302,-4.326020186518065e-08,False,True
31854,0.8251295685768127,0.8369305729866028,0.8802658915519714,0.8841176629066467,0.8763464689254761,0.9010365372138968,0.8763465069045056,75352.0,0.21095157,77.0,0.007771193981170654,0.003919422626495361,3.7979029476886694e-08,False,False
31920,1.126714825630188,1.0885194540023804,0.913921594619751,0.9351226091384888,0.9086771011352539,0.9185934949560335,0.9351226011871977,54218.0,0.42720702,77.0,0.026445508003234863,0.00524449348449707,0.026445500051943793,False,False
31933,1.1298826932907104,1.1589686870574951,0.9922372102737427,1.0068929195404053,1.0644795894622803,1.0286698926906905,1.064479568282523,88843.0,0.30310565,83.0,-0.057586669921875,-0.0722423791885376,-2.1179757281331035e-08,True,True
31939,1.508286952972412,1.474324345588684,1.3087804317474365,1.302181601524353,1.382505178451538,1.376965759848786,1.376965759848786,67575.0,0.31024912,76.0,-0.08032357692718506,-0.07372474670410156,-0.005539418602751978,True,True
31951,7.049346446990967,7.081963062286377,6.909875392913818,6.651590347290039,6.561751365661621,7.139981204754934,6.5617517447884115,,,,0.08983898162841797,0.34812402725219727,3.7912679040630337e-07,False,False
31988,0.8543393611907959,0.8306214213371277,0.8140354752540588,0.7941778302192688,0.8564578294754028,0.8599728823272651,0.8599728823272651,67575.0,0.31546697,74.0,-0.06227999925613403,-0.042422354221343994,0.003515052851862266,True,True
31997,1.1288783550262451,1.147868275642395,1.1719214916229248,1.199822187423706,1.161697268486023,1.2561704242227092,1.1998222004829273,17268.0,0.2615692,72.0,0.038124918937683105,0.010224223136901855,0.038124931996904365,False,False
32135,0.7144398093223572,0.7317982912063599,0.6722803711891174,0.6189238429069519,0.7339783310890198,0.699454473305054,0.7339783050724593,53252.0,0.4035433,19.0,-0.11505448818206787,-0.061697959899902344,-2.6016560461528115e-08,True,True
32138,0.8452659249305725,0.8883630037307739,0.7894201874732971,0.9476067423820496,0.9067729115486145,0.7662940704463975,0.9067729148679436,16034.0,0.379801,73.0,0.04083383083343506,-0.11735272407531738,3.319329144879646e-09,False,True
32189,1.4703046083450317,1.5246145725250244,1.293595314025879,1.3098722696304321,1.2929420471191406,1.2725582484607694,1.292942130126034,20880.0,0.2499047,76.0,0.016930222511291504,0.0006532669067382812,8.300689335882794e-08,False,False
32219,2.208254814147949,2.208827257156372,1.8966721296310425,2.014841079711914,2.0769102573394775,2.053224277280421,2.053224277280421,55204.0,0.2491555,62.0,-0.06206917762756348,-0.18023812770843506,-0.023685980059056533,True,True
32332,0.5101279616355896,0.5186899304389954,0.6093913912773132,0.8417078852653503,1.0031330585479736,0.562733094795773,0.562733094795773,73539.0,0.20296766,73.0,-0.1614251732826233,-0.3937416672706604,-0.4403999637522006,True,True
32804,0.8700035214424133,0.9061968922615051,0.8113881945610046,1.1459687948226929,0.9475951790809631,0.6512180537600062,0.6512180537600062,67575.0,0.42208657,47.0,0.19837361574172974,-0.1362069845199585,-0.29637712532095695,False,True
33050,2.05326771736145,2.0597994327545166,0.717684268951416,0.9482353925704956,0.3932639956474304,0.3741083082426367,0.39326397829063453,49381.0,0.3570728,109.0,0.5549713969230652,0.3244202733039856,-1.735679588943384e-08,False,False
104122,2.6651222705841064,2.7068638801574707,2.5935161113739014,2.5245471000671387,2.532762050628662,2.8014328543636817,2.532761896431242,53252.0,0.33416167,54.0,-0.008214950561523438,0.06075406074523926,-1.541974201657581e-07,True,False
104211,4.7678046226501465,4.71213436126709,2.4746434688568115,2.8259897232055664,2.5137453079223633,2.4482503475526527,2.8259898729674866,69646.0,0.47282803,50.0,0.3122444152832031,-0.03910183906555176,0.3122445650451233,False,True
