site_id,cosine_similarity,months_used,n_observations,rmse_no_tl,rmse_always_tl,rmse_casl,delta_fixed,partial_rescue_magnitude,full_rescue_margin,rel_improvement_vs_always_tl,partial_rescued,full_rescued
43655,0.37611556,138,37,0.7860744595527649,0.8583157062530518,0.809823751449585,0.07224124670028687,0.0484919548034668,-0.02374929189682007,0.05649664156229505,True,False
42660,0.390311,131,37,0.8945527672767639,1.0085976123809814,0.961216688156128,0.11404484510421753,0.047380924224853405,-0.06666392087936412,0.04697703389660219,True,False
30100,0.30134982,126,16,1.4620344638824463,1.5620262622833252,1.5150350332260132,0.0999917984008789,0.04699122905731201,-0.053000569343566895,0.03008350767971185,True,False
38037,0.20173806,141,34,1.5521087646484375,1.600391507148743,1.5537068843841553,0.0482827425003054,0.046684622764587624,-0.0015981197357177734,0.029170751379305266,True,False
32022,0.3523263,76,37,1.1031309366226196,1.1481653451919556,1.1019634008407593,0.04503440856933594,0.04620194435119629,0.0011675357818603516,0.040239800430026076,True,True
10153,0.26105213,134,35,1.0457031726837158,1.1172888278961182,1.0712127685546875,0.07158565521240234,0.046076059341430664,-0.02550959587097168,0.041239165908597684,True,False
25239,0.36530516,128,37,0.7792907357215881,0.8388354778289795,0.7928314208984375,0.05954474210739136,0.04600405693054199,-0.013540685176849365,0.054842764935988116,True,False
120044,0.32346433,130,37,0.6961871385574341,0.7330708503723145,0.6870900392532349,0.03688371181488037,0.04598081111907959,0.009097099304199219,0.06272355679635427,True,True
25330,0.38842973,141,37,0.5810911059379578,0.5996853113174438,0.5539767742156982,0.018594205379486084,0.045708537101745605,0.02711433172225952,0.07622087157901014,True,True
118753,0.36477387,134,33,1.1275222301483154,1.1925368309020996,1.1475882530212402,0.06501460075378418,0.044948577880859375,-0.020066022872924805,0.037691563661692386,True,False
9799,0.3005144,126,28,0.944568395614624,0.9819530248641968,0.9375258684158324,0.037384629249572754,0.04442715644836437,0.007042527198791615,0.04524366779613374,True,True
32954,0.3138395,138,37,1.136231541633606,1.166825532913208,1.1227627992630005,0.03059399127960205,0.04406273365020752,0.013468742370605469,0.037762915197952766,True,True
32719,0.3262264,136,33,0.84239661693573,0.8902168869972229,0.8462390899658203,0.04782027006149292,0.04397779703140259,-0.003842473030090332,0.04940121634823557,True,False
34537,0.3920464,139,37,0.4987132251262665,0.533126711845398,0.4891687929630279,0.03441348671913147,0.04395791888237005,0.009544432163238581,0.08245304147340765,True,True
43569,0.3140588,139,37,1.6848840713500977,1.8116743564605715,1.7682169675827026,0.12679028511047385,0.043457388877868874,-0.08333289623260498,0.02398741734291069,True,False
34555,0.24662799,76,36,1.3282160758972168,1.4434260129928589,1.4001457691192627,0.11520993709564209,0.04328024387359619,-0.0719296932220459,0.029984386788109184,True,False
16341,0.3091841,133,37,0.8459633588790894,0.88291996717453,0.839987576007843,0.036956608295440674,0.04293239116668701,0.005975782871246338,0.04862546183441382,True,True
28057,0.38655177,112,36,0.7015050649642944,0.7029683589935303,0.6606043577194214,0.0014632940292358398,0.04236400127410889,0.04090070724487305,0.06026444964715515,True,True
31910,0.31773576,81,37,0.8825587630271912,0.941582202911377,0.8997005224227905,0.05902343988418579,0.041881680488586426,-0.017141759395599365,0.04448011056186922,True,False
37775,0.439216,141,33,0.898442268371582,0.9523166418075562,0.9109195470809937,0.05387437343597412,0.0413970947265625,-0.012477278709411621,0.043469884814769426,True,False
66528,0.37493932,142,37,0.7415760159492493,0.752946138381958,0.7119454741477966,0.01137012243270874,0.04100066423416138,0.029630541801452637,0.054453648334354524,True,True
29309,0.21169025,124,28,0.9312912821769714,0.962433934211731,0.92221999168396,0.03114265203475952,0.040213942527770996,0.009071290493011475,0.04178358752562866,True,True
27963,0.2254553,124,32,0.8119519948959351,0.8683820366859436,0.8285737633705139,0.056430041790008545,0.03980827331542969,-0.016621768474578857,0.045841889437686086,True,False
59114,0.40539858,86,37,1.0237269401550293,1.0962929725646973,1.0567022562026978,0.07256603240966797,0.03959071636199951,-0.03297531604766846,0.036113262925858154,True,False
25230,0.41778025,138,34,0.6738298535346985,0.7212661504745483,0.6820542216300964,0.047436296939849854,0.039211928844451904,-0.00822436809539795,0.05436540841221079,True,False
118625,0.39143148,134,37,0.9817395210266112,1.0523871183395386,1.0144948959350586,0.07064759731292736,0.03789222240447998,-0.03275537490844738,0.03600597322425089,True,False
44011,0.216124,125,37,1.1063950061798096,1.1354113817214966,1.0975629091262815,0.02901637554168701,0.037848472595215066,0.008832097053528054,0.03333458973947371,True,True
37692,0.23445965,140,33,0.8280126452445984,0.8602654337882996,0.8227218985557556,0.03225278854370117,0.037543535232543945,0.0052907466888427734,0.04364180374796151,True,True
16392,0.3937149,133,37,0.7820568680763245,0.8074992299079895,0.7704224586486816,0.02544236183166504,0.03707677125930786,0.011634409427642822,0.04591554999195798,True,True
44149,0.30257556,106,17,1.9633287191390991,2.017080545425415,1.9801026582717896,0.05375182628631592,0.03697788715362549,-0.01677393913269043,0.01833238005169824,True,False
32723,0.4142492,141,37,0.6208928823471069,0.6492031812667847,0.612493634223938,0.028310298919677734,0.03670954704284668,0.008399248123168945,0.056545543987039086,True,True
