site_id,n_observations,share_obs_helped_by_always_tl,share_obs_harmed_by_always_tl,mean_delta_abs_error_always_tl_vs_no_tl,mean_delta_abs_error_selective_vs_no_tl,mean_delta_abs_error_selective_vs_always_tl,selective_partial_rescue_rate,selective_full_rescue_rate,cosine_similarity,months_used,Deep Context LSTM (No TL),Deep Context LSTM (Always TL),Context-Aware Selective Learning,delta_rmse_always_tl_vs_no_tl,delta_rmse_selective_vs_no_tl,delta_rmse_selective_vs_always_tl,always_tl_site_regime,selective_partial_rescue_site,selective_full_rescue_site
34586,35,0.4857142857142857,0.5142857142857142,0.027374016,0.010492419,-0.016881598,0.5142857142857142,0.05714285714285714,0.4755674,76,0.8393340706825256,0.866358757019043,0.8507691025733948,0.027024686336517334,0.01143503189086914,-0.015589654445648193,harmed,True,False
34587,36,0.3611111111111111,0.6388888888888888,0.12308482,0.08469655,-0.038388275,0.6388888888888888,0.0,0.44644377,73,0.8852723836898804,0.9257397055625916,0.9023833274841309,0.04046732187271118,0.01711094379425049,-0.023356378078460693,harmed,True,False
34588,36,0.4444444444444444,0.5555555555555556,0.039887782,0.020868314,-0.019019468,0.5555555555555556,0.027777777777777776,0.337248,73,1.1984061002731323,1.2547656297683716,1.2346370220184326,0.05635952949523926,0.03623092174530029,-0.020128607749938965,harmed,True,False
34590,33,0.5454545454545454,0.45454545454545453,0.010471259,0.010853166,0.00038190684,0.42424242424242425,0.0,0.33936223,73,1.1977853775024414,1.217632532119751,1.208825945854187,0.01984715461730957,0.011040568351745605,-0.008806586265563965,harmed,True,False
34594,36,0.5277777777777778,0.4722222222222222,0.023925547,0.025258094,0.0013325488,0.4444444444444444,0.0,0.37632704,73,1.0979238748550415,1.1070276498794556,1.1012214422225952,0.009103775024414062,0.003297567367553711,-0.0058062076568603516,harmed,True,False
34597,36,0.5833333333333334,0.4166666666666667,0.0018527077,-0.0135167325,-0.01536944,0.4166666666666667,0.027777777777777776,0.5932247,76,0.8041903376579285,0.7785025835037231,0.7774920463562012,-0.025687754154205322,-0.026698291301727295,-0.0010105371475219727,helped,False,False
37680,36,0.5833333333333334,0.4166666666666667,-0.0645835,-0.059437197,0.0051463083,0.4166666666666667,0.027777777777777776,0.49037263,141,0.9735018610954285,0.8998641967773438,0.9134948253631592,-0.07363766431808472,-0.06000703573226929,0.01363062858581543,helped,False,False
37692,33,0.42424242424242425,0.5757575757575758,0.03238875,-0.0034532438,-0.035841994,0.5757575757575758,0.06060606060606061,0.23445965,140,0.8280126452445984,0.8602654337882996,0.8227218985557556,0.03225278854370117,-0.0052907466888427734,-0.037543535232543945,harmed,True,True
37734,34,0.5,0.5,-0.016366677,-0.00967985,0.006686826,0.5,0.0,0.3787821,141,1.5918904542922974,1.5777536630630493,1.58219313621521,-0.014136791229248047,-0.009697318077087402,0.0044394731521606445,helped,False,False
37757,31,0.45161290322580644,0.5483870967741935,-0.12316938,-0.049471248,0.073698126,0.5483870967741935,0.03225806451612903,0.50579333,138,4.648458957672119,4.626534461975098,4.6335954666137695,-0.021924495697021484,-0.01486349105834961,0.007061004638671875,helped,False,False
37775,33,0.5757575757575758,0.42424242424242425,-0.016515533,-0.018174656,-0.0016591205,0.42424242424242425,0.0,0.439216,141,0.898442268371582,0.9523166418075562,0.9109195470809937,0.05387437343597412,0.012477278709411621,-0.0413970947265625,harmed,True,False
37801,34,0.5882352941176471,0.4117647058823529,-0.050563823,-0.03977873,0.010785088,0.4117647058823529,0.029411764705882353,0.25126195,140,0.5603405833244324,0.5295830368995667,0.515066921710968,-0.030757546424865723,-0.045273661613464355,-0.014516115188598633,helped,False,False
37827,34,0.5588235294117647,0.4411764705882353,-0.052940026,-0.049584765,0.0033552628,0.4411764705882353,0.029411764705882353,0.18417262,141,0.9873433113098145,1.0150089263916016,0.98421311378479,0.02766561508178711,-0.003130197525024414,-0.030795812606811523,harmed,True,True
37841,32,0.40625,0.59375,0.0010947986,-0.028281474,-0.029376272,0.59375,0.0625,0.33998638,141,0.9846969246864319,0.9825440645217896,0.9657928347587585,-0.002152860164642334,-0.01890408992767334,-0.016751229763031006,helped,False,False
37867,32,0.5625,0.4375,-0.03252153,-0.03236054,0.00016098842,0.4375,0.0,0.20876807,141,1.0384867191314697,0.9826983213424683,0.9868524670600891,-0.055788397789001465,-0.051634252071380615,0.00415414571762085,helped,False,False
37906,34,0.5,0.5,-0.029098038,-0.02464246,0.004455577,0.5,0.0,0.23893873,141,1.1980928182601929,1.200751543045044,1.1886398792266846,0.0026587247848510742,-0.0094529390335083,-0.012111663818359375,harmed,True,True
37912,34,0.5,0.5,0.048239246,0.020228729,-0.028010515,0.5,0.0,0.2137594,141,0.9441583156585693,0.9683316349983215,0.9445100426673889,0.024173319339752197,0.0003517270088195801,-0.023821592330932617,harmed,True,False
37920,21,0.6190476190476191,0.38095238095238093,-0.1287938,-0.08022114,0.048572667,0.38095238095238093,0.047619047619047616,0.5023114,140,1.9495903253555298,1.892094373703003,1.9157530069351196,-0.057495951652526855,-0.033837318420410156,0.0236586332321167,helped,False,False
37923,34,0.5294117647058824,0.47058823529411764,-0.013421253,-0.018237177,-0.0048159263,0.47058823529411764,0.0,0.2918087,137,1.1991480588912964,1.1800060272216797,1.1746989488601685,-0.0191420316696167,-0.02444911003112793,-0.0053070783615112305,helped,False,False
37937,34,0.35294117647058826,0.6470588235294118,0.08825098,0.0059643923,-0.08228658,0.6470588235294118,0.11764705882352941,0.48321173,139,0.9131096005439758,0.8397630453109741,0.842498779296875,-0.07334655523300171,-0.07061082124710083,0.002735733985900879,helped,False,False
37960,34,0.6176470588235294,0.38235294117647056,-0.029698512,-0.024295915,0.0054025985,0.38235294117647056,0.029411764705882353,0.2803814,141,2.2680599689483643,2.2275032997131348,2.2325358390808105,-0.04055666923522949,-0.03552412986755371,0.005032539367675781,helped,False,False
37962,34,0.5,0.5,-0.012343475,-0.021720584,-0.00937711,0.5,0.029411764705882353,0.15746368,141,1.2268842458724976,1.2277047634124756,1.1962964534759521,0.0008205175399780273,-0.03058779239654541,-0.03140830993652344,harmed,True,True
37964,34,0.6176470588235294,0.38235294117647056,-0.033815455,-0.053186595,-0.01937114,0.38235294117647056,0.058823529411764705,0.21184495,141,1.0560507774353027,1.074711799621582,1.055827260017395,0.018661022186279297,-0.00022351741790771484,-0.01888453960418701,harmed,True,True
37991,32,0.71875,0.28125,-0.04576146,-0.052308924,-0.0065474687,0.28125,0.0,0.28562942,141,0.9476767182350159,0.8708313703536987,0.8778879046440125,-0.07684534788131714,-0.06978881359100342,0.007056534290313721,helped,False,False
37997,33,0.3939393939393939,0.6060606060606061,0.06606153,0.040939424,-0.025122104,0.5757575757575758,0.0,0.19297063,141,0.8506314754486084,0.8831469416618347,0.862479567527771,0.03251546621322632,0.011848092079162598,-0.02066737413406372,harmed,True,False
38009,34,0.5,0.5,-0.03664776,-0.047983035,-0.01133528,0.5,0.029411764705882353,0.28165442,141,1.0027021169662476,0.9758532047271729,0.9630838632583618,-0.026848912239074707,-0.03961825370788574,-0.012769341468811035,helped,False,False
38020,34,0.35294117647058826,0.6470588235294118,0.14940104,0.09716756,-0.052233472,0.6470588235294118,0.0,0.24353537,140,1.1606428623199463,1.3002703189849854,1.2397639751434326,0.13962745666503906,0.07912111282348633,-0.060506343841552734,harmed,True,False
38037,34,0.5,0.5,0.042914003,-0.002064789,-0.044978794,0.5,0.029411764705882353,0.20173806,141,1.5521087646484375,1.6003915071487427,1.5537068843841553,0.048282742500305176,0.0015981197357177734,-0.0466846227645874,harmed,True,False
38046,34,0.5882352941176471,0.4117647058823529,-0.058650617,-0.05391707,0.0047335485,0.4117647058823529,0.029411764705882353,0.32303122,137,0.8855343461036682,0.7997460961341858,0.808530330657959,-0.08578824996948242,-0.07700401544570923,0.008784234523773193,helped,False,False
38062,33,0.5757575757575758,0.42424242424242425,-0.02373973,-0.02037524,0.0033644899,0.42424242424242425,0.030303030303030304,0.32604885,141,1.0144691467285156,0.9827774167060852,0.9851697087287903,-0.03169173002243042,-0.029299437999725342,0.002392292022705078,helped,False,False
38068,34,0.6764705882352942,0.3235294117647059,-0.15842588,-0.08376274,0.07466314,0.3235294117647059,0.0,0.38438818,141,1.6100724935531616,1.4348551034927368,1.5108551979064941,-0.1752173900604248,-0.09921729564666748,0.07600009441375732,helped,False,False
42660,37,0.40540540540540543,0.5945945945945946,0.11774199,0.077256314,-0.04048568,0.5945945945945946,0.02702702702702703,0.390311,131,0.8945527672767639,1.0085976123809814,0.9612166881561279,0.11404484510421753,0.06666392087936401,-0.047380924224853516,harmed,True,False
43567,37,0.5675675675675675,0.43243243243243246,-0.0051205447,-0.02708436,-0.021963816,0.43243243243243246,0.0,0.20198983,139,0.8569511771202087,0.872255802154541,0.845183789730072,0.015304625034332275,-0.011767387390136719,-0.027072012424468994,harmed,True,True
43568,37,0.5405405405405406,0.4594594594594595,0.0076679005,0.0007217212,-0.0069461754,0.4594594594594595,0.0,0.25884423,140,1.076813817024231,1.0827267169952393,1.0668070316314697,0.005912899971008301,-0.01000678539276123,-0.01591968536376953,harmed,True,True
43569,37,0.3783783783783784,0.6216216216216216,0.14225839,0.09112035,-0.05113804,0.6216216216216216,0.02702702702702703,0.3140588,139,1.6848840713500977,1.8116743564605713,1.7682169675827026,0.12679028511047363,0.08333289623260498,-0.04345738887786865,harmed,True,False
43643,37,0.4594594594594595,0.5405405405405406,0.08918254,0.044129275,-0.045053262,0.5405405405405406,0.0,0.33747968,131,0.8099337220191956,0.9339112043380737,0.8821810483932495,0.12397748231887817,0.07224732637405396,-0.05173015594482422,harmed,True,False
43655,37,0.4594594594594595,0.5405405405405406,0.08820723,0.0317773,-0.056429934,0.5405405405405406,0.02702702702702703,0.37611556,138,0.7860744595527649,0.8583157062530518,0.809823751449585,0.07224124670028687,0.02374929189682007,-0.0484919548034668,harmed,True,False
