model_family,split,rmse,mae,r2,n,budget_label,budget_windows_per_site,effective_train_windows_total,mean_train_windows_per_site,median_train_windows_per_site,budget_sort,rmse_full_budget,rmse_no_tl_same_budget,rmse_always_tl_same_budget,delta_rmse_vs_full_budget,delta_rmse_vs_no_tl_same_budget,delta_rmse_vs_always_tl_same_budget
Deep Context LSTM (Always TL),test,2.0519051514802986,1.0239311456680298,0.2467260956764221,2034,full,,5493,53.85294117647059,64.0,53.85294117647059,2.0519051514802986,2.132785224041476,2.0519051514802986,0.0,-0.0808800725611771,0.0
Context-Aware Selective Learning,test,2.0901791312371243,1.0252087116241455,0.2183625698089599,2034,full,,5493,53.85294117647059,64.0,53.85294117647059,2.0901791312371243,2.132785224041476,2.0519051514802986,0.0,-0.0426060928043514,0.0382739797568256
Deep Context LSTM (No TL),test,2.132785224041476,1.0383845567703247,0.186172068119049,2034,full,,5493,53.85294117647059,64.0,53.85294117647059,2.132785224041476,2.132785224041476,2.0519051514802986,0.0,0.0,0.0808800725611771
Random Forest,test,2.212496896669064,1.0714898354358384,0.1242024781166344,2034,full,,5493,53.85294117647059,64.0,53.85294117647059,2.212496896669064,2.132785224041476,2.0519051514802986,0.0,0.0797116726275883,0.1605917451887655
Baseline LSTM (No TL),test,2.3692919752768606,1.2417179346084597,-0.0043278932571411,2034,full,,5493,53.85294117647059,64.0,53.85294117647059,2.3692919752768606,2.132785224041476,2.0519051514802986,0.0,0.2365067512353849,0.317386823796562
Baseline LSTM (TL),test,2.3697824890182577,1.247081637382507,-0.0047438144683837,2034,full,,5493,53.85294117647059,64.0,53.85294117647059,2.3697824890182577,2.132785224041476,2.0519051514802986,0.0,0.2369972649767819,0.3178773375379591
Deep Context LSTM (Always TL),test,2.1032308883424413,1.0387346744537354,0.2085704207420349,2034,72,72.0,5269,51.65686274509804,64.0,72.0,2.0519051514802986,2.1474311830021424,2.1032308883424413,0.0513257368621427,-0.0442002946597011,0.0
Context-Aware Selective Learning,test,2.11611291845851,1.0343148708343506,0.1988459825515747,2034,72,72.0,5269,51.65686274509804,64.0,72.0,2.0901791312371243,2.1474311830021424,2.1032308883424413,0.0259337872213856,-0.0313182645436325,0.0128820301160685
Deep Context LSTM (No TL),test,2.1474311830021424,1.0501338243484497,0.1749565005302429,2034,72,72.0,5269,51.65686274509804,64.0,72.0,2.132785224041476,2.1474311830021424,2.1032308883424413,0.0146459589606666,0.0,0.0442002946597011
Random Forest,test,2.20454948006839,1.062454516091886,0.1304830083402913,2034,72,72.0,5269,51.65686274509804,64.0,72.0,2.212496896669064,2.1474311830021424,2.1032308883424413,-0.0079474166006741,0.0571182970662476,0.1013185917259487
Baseline LSTM (No TL),test,2.368912575006706,1.2412718534469604,-0.0040062665939331,2034,72,72.0,5269,51.65686274509804,64.0,72.0,2.3692919752768606,2.1474311830021424,2.1032308883424413,-0.0003794002701544,0.2214813920045637,0.2656816866642648
Baseline LSTM (TL),test,2.3696362007763008,1.247028350830078,-0.0046197175979614,2034,72,72.0,5269,51.65686274509804,64.0,72.0,2.3697824890182577,2.1474311830021424,2.1032308883424413,-0.0001462882419569,0.2222050177741583,0.2664053124338594
