model_family,split,rmse,mae,r2,n,seed
Site-Hard Expert Selector,cal,1.5703041493967176,0.9494925141334534,0.18891578912734985,1302,23
Deep Context LSTM (Always TL),cal,1.5825452181606672,0.9649175405502319,0.1762210726737976,1302,23
Deep Context LSTM (No TL),cal,1.5935139948814177,0.9735302329063416,0.16476213932037354,1302,23
Random Forest,cal,1.5941374465258804,0.9707498304812732,0.1641084972003286,1302,23
Baseline LSTM (TL),cal,1.7560377868375354,1.1520156860351562,-0.014299154281616211,1302,23
Baseline LSTM (No TL),cal,1.7664688254487677,1.1610430479049683,-0.026385068893432617,1302,23
Site-Hard Expert Selector,test,2.111485647417881,1.0488531589508057,0.2023458480834961,2034,23
Context-Aware Selective Learning,test,2.1123835830663085,1.0387142896652222,0.20166736841201782,2034,23
Deep Context LSTM (Always TL),test,2.1142103370463596,1.0537630319595337,0.2002859115600586,2034,23
Deep Context LSTM (No TL),test,2.1210889166395783,1.0302842855453491,0.19507372379302979,2034,23
Random Forest,test,2.2111940944595614,1.0688125104600767,0.12523358014339903,2034,23
Baseline LSTM (No TL),test,2.3694029660437304,1.2419031858444214,-0.00442194938659668,2034,23
Baseline LSTM (TL),test,2.3705014238399533,1.2500030994415283,-0.005353450775146484,2034,23
Deep Context LSTM (No TL),val,1.3637107456757092,0.9093979001045227,0.19792407751083374,1703,23
Context-Aware Selective Learning,val,1.3640068768218858,0.9089566469192505,0.19757568836212158,1703,23
Site-Hard Expert Selector,val,1.3671470418120895,0.9116967916488647,0.19387680292129517,1703,23
Deep Context LSTM (Always TL),val,1.3677585390187315,0.9127686619758606,0.19315552711486816,1703,23
Random Forest,val,1.3964083303437647,0.9409238543534677,0.1590003736873915,1703,23
Baseline LSTM (TL),val,1.528768046062816,1.0690909624099731,-0.007985234260559082,1703,23
Baseline LSTM (No TL),val,1.5288407192308957,1.0695130825042725,-0.00808095932006836,1703,23
Context-Aware Selective Learning,cal,1.5164875053950049,0.8806570768356323,0.24355727434158325,1302,42
Site-Hard Expert Selector,cal,1.543167680881682,0.9291371703147888,0.21670633554458618,1302,42
