model_family,split,rmse,mae,r2,n,budget_label,budget_windows_per_site,effective_train_windows_total,mean_train_windows_per_site,median_train_windows_per_site
Random Forest,cal,1.579190133453672,0.9570351209533724,0.1797103587828656,1302,24,24.0,2073,20.323529411764707,24.0
Baseline LSTM (TL),cal,1.7516027331942228,1.1494182348251345,-0.009182333946228,1302,24,24.0,2073,20.323529411764707,24.0
Baseline LSTM (No TL),cal,1.7610610444700243,1.1551682949066162,-0.0201104879379272,1302,24,24.0,2073,20.323529411764707,24.0
Deep Context LSTM (No TL),test,2.1396981341929404,1.0983036756515503,0.1808878779411316,2034,24,24.0,2073,20.323529411764707,24.0
Context-Aware Selective Learning,test,2.1403029819164936,1.102563500404358,0.1804247498512268,2034,24,24.0,2073,20.323529411764707,24.0
Deep Context LSTM (Always TL),test,2.1428348244912603,1.1069073677062988,0.178484559059143,2034,24,24.0,2073,20.323529411764707,24.0
Site-Hard Expert Selector,test,2.143889006175642,1.1072180271148682,0.1776760816574096,2034,24,24.0,2073,20.323529411764707,24.0
Random Forest,test,2.1754406239539064,1.060518100308654,0.1532936047326469,2034,24,24.0,2073,20.323529411764707,24.0
Baseline LSTM (TL),test,2.373799070601362,1.2552340030670166,-0.0081526041030883,2034,24,24.0,2073,20.323529411764707,24.0
Baseline LSTM (No TL),test,2.395332339329685,1.293541669845581,-0.026525855064392,2034,24,24.0,2073,20.323529411764707,24.0
Deep Context LSTM (Always TL),val,1.3780700914858175,0.927249312400818,0.18094402551651,1703,24,24.0,2073,20.323529411764707,24.0
Context-Aware Selective Learning,val,1.3805845599557132,0.929940104484558,0.1779523491859436,1703,24,24.0,2073,20.323529411764707,24.0
Deep Context LSTM (No TL),val,1.3810595160966226,0.92994225025177,0.1773867011070251,1703,24,24.0,2073,20.323529411764707,24.0
Site-Hard Expert Selector,val,1.3823378012153926,0.9296097755432128,0.1758631467819214,1703,24,24.0,2073,20.323529411764707,24.0
Random Forest,val,1.3918276103285416,0.941503480218594,0.1645088845396329,1703,24,24.0,2073,20.323529411764707,24.0
Baseline LSTM (TL),val,1.5274707321884309,1.067329168319702,-0.0062751770019531,1703,24,24.0,2073,20.323529411764707,24.0
Baseline LSTM (No TL),val,1.5323020279475894,1.073789358139038,-0.0126508474349975,1703,24,24.0,2073,20.323529411764707,24.0
Context-Aware Selective Learning,cal,1.5268460997174176,0.9090538620948792,0.2331879734992981,1302,48,48.0,3910,38.333333333333336,48.0
