site_id,cell_id,cosine_similarity,months_used,selector_rmse_no_tl,selector_rmse_always_tl,calibration_margin_no_tl_vs_always_tl,selected_expert,selected_parent,use_transfer,selected_selector_rmse,selector_policy,selector_margin_threshold,selector_overlap_threshold_months
43643,55441,0.33747968,131,0.5770166,0.5076863,-0.069330275,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.5076863,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
43655,55441,0.37611556,138,1.4967834,1.4940131,-0.0027703047,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.4940131,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
43665,36514,0.24312799,136,1.0855508,1.0176426,-0.06790817,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.0176426,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
43668,74020,0.21166012,139,1.3177174,1.2251525,-0.09256494,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.2251525,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
43670,75352,0.44095296,93,1.0458962,0.91926587,-0.1266303,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.91926587,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
43676,84660,0.18246551,97,1.1304474,1.0759846,-0.05446279,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.0759846,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
43679,55441,0.38541752,133,0.6359176,0.5861061,-0.049811482,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.5861061,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
43789,55441,0.36315012,118,2.1409674,2.2959366,0.15496922,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,2.1409674,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
43790,69646,0.22643742,116,1.1426352,1.1029147,-0.039720535,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.1029147,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
43795,31037,0.18890962,102,1.6624106,1.6328315,-0.029579163,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.6328315,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
43895,28977,0.21671914,129,1.0583888,0.9891847,-0.06920415,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.9891847,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
43927,34414,0.24106283,138,1.8447654,1.9323043,0.08753884,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,1.8447654,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
43987,67575,0.25407326,127,1.086542,1.0078247,-0.07871735,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.0078247,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
44011,34414,0.216124,125,1.0051548,0.93431115,-0.0708437,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.93431115,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
44018,67575,0.29694957,135,1.2148072,1.1310787,-0.08372843,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.1310787,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
44032,67575,0.22532931,138,1.2896757,1.2279716,-0.06170416,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.2279716,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
44060,81796,0.28450057,134,1.2098719,1.1502023,-0.059669614,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.1502023,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
44072,17268,0.31416422,103,1.166448,1.2798994,0.11345136,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,1.166448,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
