site_id,cell_id,cosine_similarity,months_used,source_lon,source_lat
30265,44926,0.36905493847051063,151,16.1787,-11.9324
30341,22059,0.9037759015353377,122,-27.2713,-17.7624
30380,16116,0.5547913147874861,66,-28.041300000000003,-19.3024
30385,16116,0.3604343871219,122,-28.041300000000003,-19.3024
30425,137371,0.16795227394369547,127,17.6087,12.047600000000001
30427,44926,0.35646808766242116,127,16.1787,-11.9324
30474,16116,0.287712231586034,139,-28.041300000000003,-19.3024
30578,20880,0.3494523020130401,154,-17.041300000000003,-18.092399999999998
30586,22059,0.9684989055300197,150,-27.2713,-17.7624
30638,55204,0.3101326924335578,66,-19.241300000000003,-9.1824
30656,17268,0.27793781450532085,106,5.398699999999999,-19.0824
30760,22059,0.44566931457538295,132,-27.2713,-17.7624
30788,25618,0.2426080442236812,81,-8.9013,-16.8824
30795,16116,0.39272271910861645,137,-28.041300000000003,-19.3024
30808,16116,0.3393861816916802,121,-28.041300000000003,-19.3024
30832,34400,0.23440062555253016,122,-22.3213,-14.572399999999998
30868,20880,0.36420765762690244,134,-17.041300000000003,-18.092399999999998
30919,44926,0.17831789560125316,111,16.1787,-11.9324
30981,17268,0.5006568230206404,36,5.398699999999999,-19.0824
31008,40001,0.1787621242710111,121,-12.531300000000002,-13.142399999999999
31022,22059,0.3962708527860895,114,-27.2713,-17.7624
31032,44926,0.17585148170401452,138,16.1787,-11.9324
31064,20880,0.42044693990214116,138,-17.041300000000003,-18.092399999999998
31247,17268,0.3828751427004073,65,5.398699999999999,-19.0824
31257,22059,0.9535870356744028,149,-27.2713,-17.7624
31324,16116,0.2672814628102875,167,-28.041300000000003,-19.3024
31343,16116,0.3890251611756818,118,-28.041300000000003,-19.3024
31403,12127,0.2337988940226619,125,-0.4313000000000015,-20.4024
31425,49528,0.42938199323239784,142,9.358699999999999,-10.722399999999999
31482,49528,0.41285589616224383,156,9.358699999999999,-10.722399999999999
31515,69646,0.2718281240433001,124,-16.381300000000003,-5.442399999999999
31528,25114,0.4982325098759621,88,-17.701300000000003,-16.9924
31541,16116,0.34751354317747984,131,-28.041300000000003,-19.3024
31543,22059,0.4566662019150888,121,-27.2713,-17.7624
31567,26758,0.3516181286717887,126,-23.421300000000002,-16.5524
31593,25597,0.3086350872698653,74,-11.211300000000001,-16.8824
31631,44926,0.33968792808621484,121,16.1787,-11.9324
31642,16116,0.5100406365397414,79,-28.041300000000003,-19.3024
31683,16116,0.2038309206555286,115,-28.041300000000003,-19.3024
31688,49528,0.3660956243368123,121,9.358699999999999,-10.722399999999999
31696,62902,0.20398058788189768,143,-11.981300000000001,-7.202399999999999
31792,44926,0.4428630186525896,59,16.1787,-11.9324
31854,26758,0.44596623427859206,132,-23.421300000000002,-16.5524
31920,20880,0.46294153764790874,123,-17.041300000000003,-18.092399999999998
31933,22059,0.9626407360673692,152,-27.2713,-17.7624
31939,163199,0.3338964910438054,141,13.648699999999998,18.7576
31951,172120,0.4989447872453614,20,15.518699999999999,21.067600000000002
31988,156414,0.30185682814154435,122,13.538699999999999,16.997600000000002
31997,22059,0.38655641889557946,116,-27.2713,-17.7624
32135,44926,0.418503389650112,81,16.1787,-11.9324
32138,22059,0.42870127568836724,121,-27.2713,-17.7624
32189,26758,0.19060505811676406,121,-23.421300000000002,-16.5524
32219,124900,0.25827351696657047,109,-1.6413000000000015,8.857600000000001
32332,22059,0.9185448769319694,126,-27.2713,-17.7624
32804,17268,0.3915431185084238,78,5.398699999999999,-19.0824
33050,81825,0.2758488816439663,141,17.3887,-2.362399999999999
104122,22059,0.8211139760145559,153,-27.2713,-17.7624
104211,22059,0.7312797445724684,147,-27.2713,-17.7624
