site_id,driver_code,driver,lag,corr,n_overlap,coverage_months
31482,tsmp_wtda,TSMP wtda,0,-0.32164945513034016,156,156
31482,pr_a,Precipitation anomaly,0,-0.24491255688665708,156,156
31482,sm_a,Soil moisture anomaly,0,-0.0036410247487344938,156,156
31515,tsmp_wtda,TSMP wtda,0,-0.03803577693591643,124,124
31515,pr_a,Precipitation anomaly,0,-0.15667113888006232,124,124
31515,sm_a,Soil moisture anomaly,0,-0.12515996446694697,124,124
31528,tsmp_wtda,TSMP wtda,0,-0.03385715297223194,88,88
31528,pr_a,Precipitation anomaly,0,-0.22923050346105667,88,88
31528,sm_a,Soil moisture anomaly,0,0.09629719512674555,88,88
31541,tsmp_wtda,TSMP wtda,0,-0.19546174603697103,131,131
31541,pr_a,Precipitation anomaly,0,-0.11432333851390568,131,131
31541,sm_a,Soil moisture anomaly,0,0.15343362049347742,131,131
31543,tsmp_wtda,TSMP wtda,0,0.04577515166182661,121,121
31543,pr_a,Precipitation anomaly,0,0.26849279230320844,121,121
31543,sm_a,Soil moisture anomaly,0,-0.031199930309492495,121,121
31567,tsmp_wtda,TSMP wtda,0,-0.12614328910555409,126,126
31567,pr_a,Precipitation anomaly,0,-0.11394369561912891,126,126
31567,sm_a,Soil moisture anomaly,0,0.05723426537928004,126,126
31593,tsmp_wtda,TSMP wtda,0,0.0014132041110454898,74,74
31593,pr_a,Precipitation anomaly,0,-0.11514940916453566,74,74
31593,sm_a,Soil moisture anomaly,0,-0.0005832613852012656,74,74
31631,tsmp_wtda,TSMP wtda,0,-0.051900860064906046,121,121
31631,pr_a,Precipitation anomaly,0,-0.06441876802382583,121,121
31631,sm_a,Soil moisture anomaly,0,-0.08294615383304958,121,121
31642,tsmp_wtda,TSMP wtda,0,0.12007905293918675,79,79
31642,pr_a,Precipitation anomaly,0,-0.060674388904275595,79,79
31642,sm_a,Soil moisture anomaly,0,0.1402005454097752,79,79
31683,tsmp_wtda,TSMP wtda,0,-0.19826678240167217,115,115
31683,pr_a,Precipitation anomaly,0,0.12263307533408539,115,115
31683,sm_a,Soil moisture anomaly,0,0.09718356347531179,115,115
31688,tsmp_wtda,TSMP wtda,0,-0.2850044998033771,121,121
31688,pr_a,Precipitation anomaly,0,0.05600625614742339,121,121
31688,sm_a,Soil moisture anomaly,0,0.0671388461389741,121,121
31696,tsmp_wtda,TSMP wtda,0,-0.01779461872901121,143,143
31696,pr_a,Precipitation anomaly,0,0.08778753891584563,143,143
31696,sm_a,Soil moisture anomaly,0,-0.044216367733674586,143,143
31792,tsmp_wtda,TSMP wtda,0,0.015201696507479979,59,59
31792,pr_a,Precipitation anomaly,0,0.2148633162177283,59,59
31792,sm_a,Soil moisture anomaly,0,0.14154863756876138,59,59
31854,tsmp_wtda,TSMP wtda,0,-0.07385414006758177,132,132
31854,pr_a,Precipitation anomaly,0,-0.00851841529296875,132,132
31854,sm_a,Soil moisture anomaly,0,0.1607601656014273,132,132
31920,tsmp_wtda,TSMP wtda,0,-0.23214644683097582,123,123
31920,pr_a,Precipitation anomaly,0,-0.20481519454750563,123,123
31920,sm_a,Soil moisture anomaly,0,0.2913894988461694,123,123
31933,tsmp_wtda,TSMP wtda,0,-0.28833647339742363,152,152
31933,pr_a,Precipitation anomaly,0,-0.05267585235106004,152,152
31933,sm_a,Soil moisture anomaly,0,0.02840431122634362,152,152
31939,tsmp_wtda,TSMP wtda,0,-0.12481680288140536,141,141
31939,pr_a,Precipitation anomaly,0,-0.3224294081616662,141,141
31939,sm_a,Soil moisture anomaly,0,0.0116863030027195,141,141
31951,tsmp_wtda,TSMP wtda,0,0.2374962344071657,20,20
31951,pr_a,Precipitation anomaly,0,-0.138847078041242,20,20
31951,sm_a,Soil moisture anomaly,0,0.022261157574037273,20,20
31988,tsmp_wtda,TSMP wtda,0,0.10806611410500849,122,122
31988,pr_a,Precipitation anomaly,0,0.023334649603644984,122,122
31988,sm_a,Soil moisture anomaly,0,-0.049007785682587665,122,122
31997,tsmp_wtda,TSMP wtda,0,0.02334271631242295,116,116
31997,pr_a,Precipitation anomaly,0,0.03318165852669112,116,116
31997,sm_a,Soil moisture anomaly,0,-0.030538893353939427,116,116
32135,tsmp_wtda,TSMP wtda,0,0.11798370966043596,81,81
32135,pr_a,Precipitation anomaly,0,-0.05970874856721023,81,81
32135,sm_a,Soil moisture anomaly,0,0.14771420672387114,81,81
32138,tsmp_wtda,TSMP wtda,0,-0.016149135077181603,121,121
32138,pr_a,Precipitation anomaly,0,-0.012498280053875897,121,121
32138,sm_a,Soil moisture anomaly,0,-0.06908314691281305,121,121
32189,tsmp_wtda,TSMP wtda,0,-0.2682375483051258,121,121
32189,pr_a,Precipitation anomaly,0,-0.10043083790728582,121,121
32189,sm_a,Soil moisture anomaly,0,0.18899001198783985,121,121
32219,tsmp_wtda,TSMP wtda,0,-0.011698569432396139,109,109
32219,pr_a,Precipitation anomaly,0,-0.013167460263770593,109,109
32219,sm_a,Soil moisture anomaly,0,0.06695945419638742,109,109
32332,tsmp_wtda,TSMP wtda,0,-0.0596461313904535,126,126
32332,pr_a,Precipitation anomaly,0,0.06890030293669903,126,126
32332,sm_a,Soil moisture anomaly,0,0.04842647956901096,126,126
32804,tsmp_wtda,TSMP wtda,0,-0.06535177645754553,78,78
32804,pr_a,Precipitation anomaly,0,0.19562566065242626,78,78
32804,sm_a,Soil moisture anomaly,0,0.055753536477589474,78,78
33050,tsmp_wtda,TSMP wtda,0,0.21732084389258935,141,141
33050,pr_a,Precipitation anomaly,0,-0.03756426385501342,141,141
33050,sm_a,Soil moisture anomaly,0,-0.41862259758681186,141,141
104122,tsmp_wtda,TSMP wtda,0,-0.08868533901735628,153,153
104122,pr_a,Precipitation anomaly,0,0.0517687574278366,153,153
104122,sm_a,Soil moisture anomaly,0,-0.0014758124813157864,153,153
104211,tsmp_wtda,TSMP wtda,0,0.09675603732511978,147,147
104211,pr_a,Precipitation anomaly,0,-0.07704140240351842,147,147
104211,sm_a,Soil moisture anomaly,0,-0.013477474712145415,147,147
9689,tsmp_wtda,TSMP wtda,1,0.21987920291950497,115,116
9689,pr_a,Precipitation anomaly,1,0.08692948834684164,115,116
9689,sm_a,Soil moisture anomaly,1,0.22026346487448425,115,116
9943,tsmp_wtda,TSMP wtda,1,0.21519879348924686,176,177
9943,pr_a,Precipitation anomaly,1,0.13692732259162368,176,177
9943,sm_a,Soil moisture anomaly,1,0.04912320420050198,176,177
10385,tsmp_wtda,TSMP wtda,1,0.31990603768996745,169,170
10385,pr_a,Precipitation anomaly,1,0.09089853493332775,169,170
10385,sm_a,Soil moisture anomaly,1,-0.21706673657932943,169,170
18022,tsmp_wtda,TSMP wtda,1,0.01692566254832355,66,67
18022,pr_a,Precipitation anomaly,1,0.17920051052191213,66,67
18022,sm_a,Soil moisture anomaly,1,0.11253045568527065,66,67
18027,tsmp_wtda,TSMP wtda,1,0.24578183433743575,66,67
18027,pr_a,Precipitation anomaly,1,-0.037842315001372855,66,67
18027,sm_a,Soil moisture anomaly,1,0.18549269302544039,66,67
18055,tsmp_wtda,TSMP wtda,1,-0.5615334498719559,66,67
18055,pr_a,Precipitation anomaly,1,0.16242071906359407,66,67
18055,sm_a,Soil moisture anomaly,1,0.23058818849799903,66,67
18086,tsmp_wtda,TSMP wtda,1,-0.45636297035170337,66,67
18086,pr_a,Precipitation anomaly,1,0.3091706458683015,66,67
18086,sm_a,Soil moisture anomaly,1,0.23564532711307037,66,67
29249,tsmp_wtda,TSMP wtda,1,0.007165153462475347,123,124
29249,pr_a,Precipitation anomaly,1,0.10548032979529484,123,124
29249,sm_a,Soil moisture anomaly,1,-0.04379968712336971,123,124
29263,tsmp_wtda,TSMP wtda,1,-0.15531818648889248,130,131
29263,pr_a,Precipitation anomaly,1,0.10687433190951841,130,131
29263,sm_a,Soil moisture anomaly,1,0.27700829807910005,130,131
29357,tsmp_wtda,TSMP wtda,1,0.09935829106205513,126,127
29357,pr_a,Precipitation anomaly,1,0.2771445927644735,126,127
29357,sm_a,Soil moisture anomaly,1,-0.04014770053226055,126,127
29366,tsmp_wtda,TSMP wtda,1,0.16196491637276447,126,127
29366,pr_a,Precipitation anomaly,1,0.15327701303035146,126,127
29366,sm_a,Soil moisture anomaly,1,-0.019845645695945036,126,127
29373,tsmp_wtda,TSMP wtda,1,-0.022803175459527945,111,112
29373,pr_a,Precipitation anomaly,1,0.10091773632247439,111,112
29373,sm_a,Soil moisture anomaly,1,0.008089409618424647,111,112
29419,tsmp_wtda,TSMP wtda,1,-0.05430645893959253,135,136
