site_id,well_id,gmw_bro_id,tube_number,n_gld_series,max_observations_meta,sum_observations_meta,first_date_meta,last_date_meta,lon,lat,index_right,use_obj_type,use_obj_id,facility_bro_id,distance_to_use_m,tube_rank_within_well_meta,actual_observation_rows,actual_first_date,actual_last_date,downloaded_gld_count,tube_rank_within_well_actual
30760,23877,GMW000000032370,1,2,191,213,1990-07-13,2025-03-26,4.88447018013829,52.37158210569967,2746,facility_point,GUF000000009170,GUF000000009170,9.219805709697924,1,,,,0,1
30788,23904,GMW000000032397,1,2,108,120,2004-03-25,2023-01-11,4.842827560579761,52.39180015603263,8575,design_well,555958,,48.51578368312825,1,,,,0,1
30795,23910,GMW000000032403,1,2,250,290,1975-02-06,2025-04-10,4.8661496093253955,52.33490477587016,6895,realised_well,109709,,37.98216968650347,1,,,,0,1
30808,23923,GMW000000032416,1,2,178,189,1990-08-31,2022-12-28,4.8936584000893,52.36930191562502,6554,realised_well,544983,,44.625785241679125,1,,,,0,1
30832,23946,GMW000000032439,1,2,176,203,1991-04-08,2025-03-21,4.887447460059431,52.36799062567703,2743,facility_point,GUF000000004970,GUF000000004970,30.414550177907444,1,,,,0,1
30868,23981,GMW000000032474,1,2,187,207,1990-05-31,2025-03-26,4.8927524497317165,52.3531022456411,3380,facility_point,GUF000000010274,GUF000000010274,39.05072905010834,1,,,,0,1
30919,24029,GMW000000032522,1,2,161,196,1991-01-18,2025-03-20,4.909730979922683,52.361638375496526,2885,facility_point,GUF000000019629,GUF000000019629,36.39990940481625,1,,,,0,1
30981,24089,GMW000000032582,3,2,64,91,1998-05-29,2025-04-15,4.8794134398082,52.35666784574943,8559,design_well,563144,,30.837480981617297,1,,,,0,1
31008,24114,GMW000000032607,1,2,154,196,1984-02-16,2025-05-02,4.9383393986599575,52.30401312528898,8196,design_well,549797,,44.41780201025218,1,,,,0,1
31022,24125,GMW000000032618,1,2,220,239,1980-12-18,2023-11-02,4.871005660581109,52.39170160579974,2768,facility_point,GUF000000025194,GUF000000025194,7.212302557905538,1,,,,0,1
31032,24135,GMW000000032628,1,2,196,241,1990-05-02,2025-02-07,4.872739759824923,52.35747490580412,2712,facility_point,GUF000000024057,GUF000000024057,19.72154179835551,1,,,,0,1
31064,24163,GMW000000032656,1,2,245,271,1980-04-24,2025-03-25,4.891095020337521,52.38056180564006,2753,facility_point,GUF000000004314,GUF000000004314,45.099007518888286,1,,,,0,1
31247,24346,GMW000000032839,1,2,90,94,2004-10-11,2021-08-17,4.832549530490561,52.38783382611995,2235,facility_point,GUF000000017244,GUF000000017244,32.80125297084509,1,,,,0,1
