site_id,well_id,gmw_bro_id,tube_number,distance_to_use_m,use_obj_type,use_obj_id,tube_rank_within_well_meta,gld_bro_id,gld_observations_meta,gld_first_date_meta,gld_last_date_meta,series_unknown_csv_url,series_preliminary_csv_url,series_fully_assessed_csv_url,bro_csv_url
29373,22542,GMW000000031035,1,42.99906954664259,facility_point,GUF000000001397,1,GLD000000100687,184,1991-06-19,2020-12-31,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000100687?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000100687?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000100687?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000100687
29373,22542,GMW000000031035,1,42.99906954664259,facility_point,GUF000000001397,1,GLD000000104817,41,2021-01-01,2025-03-18,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000104817?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000104817?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000104817?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000104817
29419,22585,GMW000000031078,1,35.17173422672762,facility_point,GUF000000017692,1,GLD000000101242,48,2021-01-06,2025-04-09,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000101242?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000101242?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000101242?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000101242
29419,22585,GMW000000031078,1,35.17173422672762,facility_point,GUF000000017692,1,GLD000000101998,204,1991-01-09,2020-12-02,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000101998?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000101998?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000101998?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000101998
29465,22629,GMW000000031122,1,23.407940544105706,realised_well,545394,1,GLD000000100829,99,2004-07-15,2020-12-02,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000100829?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000100829?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000100829?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000100829
29465,22629,GMW000000031122,1,23.407940544105706,realised_well,545394,1,GLD000000105219,11,2021-01-07,2022-02-01,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000105219?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000105219?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000105219?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000105219
29476,22640,GMW000000031133,1,22.82412108580305,facility_point,GUF000000044798,1,GLD000000099421,42,2021-01-01,2025-03-06,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000099421?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000099421?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000099421?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000099421
29476,22640,GMW000000031133,1,22.82412108580305,facility_point,GUF000000044798,1,GLD000000102251,185,1994-01-02,2020-12-31,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000102251?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000102251?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000102251?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000102251
29532,22695,GMW000000031188,1,27.659031009825686,design_well,549762,1,GLD000000100048,155,1994-11-07,2020-11-17,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000100048?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000100048?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000100048?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000100048
29532,22695,GMW000000031188,1,27.659031009825686,design_well,549762,1,GLD000000101121,27,2021-01-20,2025-03-19,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000101121?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000101121?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000101121?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000101121
