site_id,model_family,rmse,mae,n
30104,Baseline LSTM (TL),2.3049962520599365,1.7791298627853394,16
30104,Baseline LSTM (No TL),2.3269104957580566,1.8178517818450928,16
30225,Deep Context LSTM (No TL),0.6734299659729004,0.527655303478241,14
30225,Site-Hard Expert Selector,0.6734299659729004,0.527655303478241,14
30225,Random Forest,0.6776964929131019,0.5731229991482316,14
30225,Baseline LSTM (No TL),0.6851364374160767,0.5133633613586426,14
30225,Context-Aware Selective Learning,0.6986570954322815,0.5520097017288208,14
30225,Baseline LSTM (TL),0.6996635794639587,0.5299184322357178,14
30225,Deep Context LSTM (Always TL),0.7147852778434753,0.5611492991447449,14
30247,Deep Context LSTM (No TL),1.2929093837738037,1.0430530309677124,38
30247,Context-Aware Selective Learning,1.295547604560852,1.042130947113037,38
30247,Deep Context LSTM (Always TL),1.297547698020935,1.0431255102157593,38
30247,Site-Hard Expert Selector,1.297547698020935,1.0431255102157593,38
30247,Random Forest,1.3198139300692222,1.0768210851466544,38
30247,Baseline LSTM (No TL),1.4548004865646362,1.228092074394226,38
30247,Baseline LSTM (TL),1.4857147932052612,1.272892951965332,38
30249,Random Forest,2.118692220581732,1.584805856645482,22
30249,Deep Context LSTM (No TL),2.2336602210998535,1.748650074005127,22
30249,Context-Aware Selective Learning,2.2995851039886475,1.826074242591858,22
30249,Deep Context LSTM (Always TL),2.329491138458252,1.8547056913375854,22
30249,Site-Hard Expert Selector,2.329491138458252,1.8547056913375854,22
30249,Baseline LSTM (TL),2.6036908626556396,2.1802237033843994,22
30249,Baseline LSTM (No TL),2.6649887561798096,2.2497220039367676,22
30265,Random Forest,0.7704018488407063,0.6042301735426827,27
30265,Deep Context LSTM (Always TL),0.7951678037643433,0.616157591342926,27
30265,Context-Aware Selective Learning,0.7973999977111816,0.614817202091217,27
30265,Deep Context LSTM (No TL),0.809088945388794,0.6233699321746826,27
30265,Site-Hard Expert Selector,0.809088945388794,0.6233699321746826,27
30265,Baseline LSTM (TL),0.9701958894729614,0.7732049226760864,27
30265,Baseline LSTM (No TL),0.9840368628501892,0.7844679355621338,27
30341,Deep Context LSTM (No TL),1.3668102025985718,1.138659954071045,30
30341,Site-Hard Expert Selector,1.3668102025985718,1.138659954071045,30
30341,Context-Aware Selective Learning,1.4822015762329102,1.2319947481155396,30
30341,Deep Context LSTM (Always TL),1.562113881111145,1.3026539087295532,30
30341,Random Forest,1.6945887741846883,1.405439532391978,30
30341,Baseline LSTM (TL),2.2025866508483887,1.974210262298584,30
30341,Baseline LSTM (No TL),2.260472059249878,2.0498766899108887,30
30380,Random Forest,0.9197293129948277,0.7264131528512426,17
30380,Baseline LSTM (No TL),0.9412341713905334,0.7366737127304077,17
30380,Baseline LSTM (TL),0.9521414041519165,0.7505768537521362,17
30380,Deep Context LSTM (Always TL),1.017993688583374,0.7666444182395935,17
30380,Site-Hard Expert Selector,1.017993688583374,0.7666444182395935,17
30380,Context-Aware Selective Learning,1.0921224355697632,0.824073314666748,17
30380,Deep Context LSTM (No TL),1.1809494495391846,0.9273032546043396,17
30385,Deep Context LSTM (Always TL),0.4577571153640747,0.4014647901058197,17
30385,Baseline LSTM (No TL),0.47541549801826477,0.4311566650867462,17
30385,Baseline LSTM (TL),0.5057772994041443,0.43805181980133057,17
30385,Context-Aware Selective Learning,0.5163702368736267,0.42473551630973816,17
30385,Random Forest,0.5350073727297587,0.48552956101350553,17
30385,Deep Context LSTM (No TL),0.6087600588798523,0.4718147814273834,17
30385,Site-Hard Expert Selector,0.6087600588798523,0.4718147814273834,17
30425,Deep Context LSTM (No TL),1.190364122390747,0.9366784691810608,9
30425,Site-Hard Expert Selector,1.190364122390747,0.9366784691810608,9
30425,Baseline LSTM (TL),1.2199554443359375,0.9350382685661316,9
30425,Context-Aware Selective Learning,1.2437081336975098,1.0128798484802246,9
30425,Baseline LSTM (No TL),1.2817387580871582,1.015007495880127,9
30425,Deep Context LSTM (Always TL),1.3054660558700562,1.064310908317566,9
30425,Random Forest,1.3472409657142774,1.0438696320412586,9
30427,Deep Context LSTM (No TL),0.9344898462295532,0.8281076550483704,19
30427,Context-Aware Selective Learning,0.9474018812179565,0.8669000864028931,19
30427,Deep Context LSTM (Always TL),0.9835074543952942,0.9031829833984375,19
30427,Site-Hard Expert Selector,0.9835074543952942,0.9031829833984375,19
30427,Random Forest,1.0015182731205954,0.8982868929511576,19
30427,Baseline LSTM (TL),1.1531697511672974,1.0428584814071655,19
30427,Baseline LSTM (No TL),1.1629780530929565,1.0445114374160767,19
30474,Baseline LSTM (TL),0.5268909335136414,0.4129452705383301,28
30474,Context-Aware Selective Learning,0.5576757192611694,0.44334760308265686,28
30474,Deep Context LSTM (Always TL),0.5622562766075134,0.4476129710674286,28
30474,Site-Hard Expert Selector,0.5622562766075134,0.4476129710674286,28
30474,Deep Context LSTM (No TL),0.5659278631210327,0.45797181129455566,28
30474,Baseline LSTM (No TL),0.5808318853378296,0.4686087667942047,28
30474,Random Forest,0.5941139486795387,0.4958696991037435,28
30578,Deep Context LSTM (Always TL),1.2780184745788574,0.9061366319656372,34
30578,Site-Hard Expert Selector,1.2780184745788574,0.9061366319656372,34
30578,Context-Aware Selective Learning,1.2903709411621094,0.9230484962463379,34
30578,Deep Context LSTM (No TL),1.3015477657318115,0.9336408972740173,34
30578,Baseline LSTM (TL),1.3569972515106201,0.8571066856384277,34
30578,Baseline LSTM (No TL),1.3752896785736084,0.8803948760032654,34
30578,Random Forest,1.3893051534643075,0.9391740908524109,34
30586,Deep Context LSTM (No TL),1.1425045728683472,0.8389713168144226,28
30586,Context-Aware Selective Learning,1.2291781902313232,0.9044218063354492,28
30586,Deep Context LSTM (Always TL),1.292402744293213,0.9563202261924744,28
30586,Site-Hard Expert Selector,1.292402744293213,0.9563202261924744,28
30586,Random Forest,1.2934105906076918,0.9574119330496019,28
30586,Baseline LSTM (TL),1.5336008071899414,1.2266032695770264,28
30586,Baseline LSTM (No TL),1.5990710258483887,1.2928659915924072,28
30656,Context-Aware Selective Learning,0.7602494955062866,0.5375508666038513,17
30656,Deep Context LSTM (No TL),0.7618110775947571,0.5509152412414551,17
30656,Deep Context LSTM (Always TL),0.7679294943809509,0.5252112746238708,17
30656,Site-Hard Expert Selector,0.7679294943809509,0.5252112746238708,17
30656,Baseline LSTM (No TL),0.7964707612991333,0.5990786552429199,17
30656,Baseline LSTM (TL),0.807464063167572,0.6257056593894958,17
30656,Random Forest,0.8171446307736326,0.5438303105667047,17
30760,Deep Context LSTM (Always TL),0.5883705019950867,0.43670785427093506,17
30760,Random Forest,0.5970755453409388,0.43764985146104995,17
30760,Context-Aware Selective Learning,0.5985135436058044,0.45570918917655945,17
30760,Deep Context LSTM (No TL),0.6190626621246338,0.4849281311035156,17
30760,Site-Hard Expert Selector,0.6190626621246338,0.4849281311035156,17
30760,Baseline LSTM (No TL),0.7120344042778015,0.5528877973556519,17
30760,Baseline LSTM (TL),0.756869912147522,0.6103901863098145,17
30788,Baseline LSTM (TL),3.0493855476379395,1.6074844598770142,17
30788,Baseline LSTM (No TL),3.078974962234497,1.6110106706619263,17
30788,Random Forest,3.1384375732062098,1.656780787850356,17
30788,Context-Aware Selective Learning,3.2437596321105957,1.9529838562011719,17
30788,Deep Context LSTM (No TL),3.2537970542907715,1.9857310056686401,17
30788,Deep Context LSTM (Always TL),3.2664973735809326,1.8861052989959717,17
30788,Site-Hard Expert Selector,3.2664973735809326,1.8861052989959717,17
30795,Deep Context LSTM (Always TL),1.5542746782302856,1.2724038362503052,27
30795,Site-Hard Expert Selector,1.5542746782302856,1.2724038362503052,27
30795,Random Forest,1.571999379949449,1.3440337552084776,27
30795,Context-Aware Selective Learning,1.5756758451461792,1.3040961027145386,27
30795,Deep Context LSTM (No TL),1.5947539806365967,1.329034447669983,27
30795,Baseline LSTM (No TL),1.7948546409606934,1.5177034139633179,27
30795,Baseline LSTM (TL),1.8094652891159058,1.5460922718048096,27
30808,Random Forest,0.5777707638550542,0.48851038251144585,16
30808,Deep Context LSTM (Always TL),0.6395100951194763,0.5574758052825928,16
30808,Site-Hard Expert Selector,0.6395100951194763,0.5574758052825928,16
30808,Context-Aware Selective Learning,0.64081871509552,0.5525816082954407,16
30808,Baseline LSTM (TL),0.6599287986755371,0.5666943788528442,16
30808,Deep Context LSTM (No TL),0.6792835593223572,0.5646089315414429,16
30808,Baseline LSTM (No TL),0.6905950307846069,0.5919977426528931,16
30832,Deep Context LSTM (No TL),0.5563327670097351,0.4459540545940399,17
30832,Baseline LSTM (No TL),0.5733555555343628,0.46000638604164124,17
30832,Baseline LSTM (TL),0.5828749537467957,0.48164036870002747,17
30832,Context-Aware Selective Learning,0.597594141960144,0.4882442355155945,17
30832,Deep Context LSTM (Always TL),0.6119054555892944,0.4976469576358795,17
30832,Site-Hard Expert Selector,0.6119054555892944,0.4976469576358795,17
30832,Random Forest,0.652973309505968,0.5333237411007926,17
30868,Deep Context LSTM (No TL),1.4074316024780273,1.0547451972961426,17
30868,Context-Aware Selective Learning,1.426665186882019,1.0258777141571045,17
30868,Deep Context LSTM (Always TL),1.4378113746643066,1.023645043373108,17
30868,Site-Hard Expert Selector,1.4378113746643066,1.023645043373108,17
30868,Baseline LSTM (TL),1.4381712675094604,1.0087581872940063,17
30868,Baseline LSTM (No TL),1.4618661403656006,1.026808738708496,17
30868,Random Forest,1.4815494308585713,1.1021908067822663,17
30919,Baseline LSTM (No TL),0.992677628993988,0.7864819169044495,14
30919,Baseline LSTM (TL),0.9981445074081421,0.7989649772644043,14
30919,Deep Context LSTM (No TL),1.0419206619262695,0.8227093815803528,14
