model_family,target_month_of_year,n,rmse,mae,bias,median_abs_error,p90_abs_error,target_mean,target_std
Deep Context LSTM (No TL),8,1364.0,1.8654750103302862,1.1088765683116888,0.6385032373843742,0.9611647725105286,1.917364764213562,0.24325650786285224,2.024058786406086
Context-Aware Selective Learning,8,1364.0,1.8777320701302673,1.1285177522483678,0.6742698406593061,0.9787025153636932,1.9884378790855408,0.24325650786285224,2.024058786406086
Site-Hard Expert Selector,8,1364.0,1.8844502257375755,1.1278929842384724,0.6732383253041906,0.9629412293434143,2.0384729623794557,0.24325650786285224,2.024058786406086
Deep Context LSTM (Always TL),8,1364.0,1.8949872484081693,1.1468453391419609,0.7005380576727721,1.0080864429473877,2.0628947257995605,0.24325650786285224,2.024058786406086
Baseline LSTM (No TL),8,1364.0,2.023706796770643,1.069216772739139,0.1381692688835681,0.820118248462677,1.9501506209373476,0.24325650786285224,2.024058786406086
Baseline LSTM (TL),8,1364.0,2.028027402596723,1.0444628574046964,-0.1631150240067644,0.7943986654281616,1.9262522101402284,0.24325650786285224,2.024058786406086
Deep Context LSTM (Always TL),9,1353.0,1.841010019599703,0.9914403918122836,0.3454607504420671,0.801101803779602,1.8068577289581298,0.5172344422537809,2.05818012258614
Context-Aware Selective Learning,9,1353.0,1.8517120190443261,0.9858454435923345,0.280337892600775,0.7818121910095215,1.7628631830215449,0.5172344422537809,2.05818012258614
Site-Hard Expert Selector,9,1353.0,1.8546316131327292,0.9862200354555648,0.27640842490382794,0.7951445579528809,1.7889554262161254,0.5172344422537809,2.05818012258614
Deep Context LSTM (No TL),9,1353.0,1.8818887166235816,1.002990060728883,0.12901844002901186,0.8016986846923828,1.776465797424316,0.5172344422537809,2.05818012258614
Random Forest,9,1353.0,1.9072381199954762,0.866341980891433,-0.291493757042128,0.5849416851997375,1.6824744701385497,0.5172344422537809,2.05818012258614
Baseline LSTM (No TL),9,1353.0,2.06404699804246,1.0403657879870376,-0.10508947880045186,0.7424946427345276,1.9723086595535277,0.5172344422537809,2.05818012258614
Baseline LSTM (TL),9,1353.0,2.108864531343976,1.0836214548650047,-0.45080781222237803,0.8026235103607178,2.025973606109619,0.5172344422537809,2.05818012258614
Deep Context LSTM (Always TL),10,1332.0,1.8205272907559311,0.7730590089688542,0.05253118450414982,0.5216982364654541,1.4668610215187075,0.4196439655744135,2.10299413693115
Context-Aware Selective Learning,10,1332.0,1.833381506441687,0.790862340022119,0.007619144700540302,0.5272533595561981,1.5081226706504822,0.4196439655744135,2.10299413693115
Site-Hard Expert Selector,10,1332.0,1.8374159644645596,0.798873278813006,0.021197371313477063,0.5381403863430023,1.5180179834365846,0.4196439655744135,2.10299413693115
Deep Context LSTM (No TL),10,1332.0,1.859303184903199,0.8380947859115988,-0.04871905189673151,0.5782901644706726,1.567289566993714,0.4196439655744135,2.10299413693115
Random Forest,10,1332.0,1.9390932543903545,0.7757503893453622,-0.22030899283516728,0.48332230746746063,1.4006246924400332,0.4196439655744135,2.10299413693115
Baseline LSTM (No TL),10,1332.0,2.1043758568057687,1.000258127473541,0.002761297750177684,0.6902421712875366,1.8342931151390076,0.4196439655744135,2.10299413693115
Baseline LSTM (TL),10,1332.0,2.132491540001256,1.0077968237924393,-0.3586624475718999,0.7105075716972351,1.856475913524628,0.4196439655744135,2.10299413693115
Deep Context LSTM (Always TL),11,1369.0,2.0067130207466684,0.738808539796041,-0.24845402793369648,0.4641420245170593,1.339561581611634,0.4681440354040004,2.272632765760733
