site_id,cell_id,cosine_similarity,months_used,sim_mean,sim_std,sim_max,sim_min,sim_q90,sim_q95,train_rows,wtda_mean,wtda_std,pr_a_mean,pr_a_std,sm_a_mean,sm_a_std,tsmp_wtda_mean,tsmp_wtda_std,pumping_log_mean,pumping_log_std,lon_norm,lat_norm,max_observations,sim_top3_mean,sim_top3_std,sim_top5_mean,sim_top5_std,sim_top10_mean,sim_top10_std,selector_rmse_no_tl,selector_rmse_always_tl,selector_rmse_random_forest,selector_rmse_selective_learning,selector_rmse_selective_learning_oof,selector_observations,selector_gamma_mean,selector_gamma_std,selector_gamma_oof_mean,selector_gamma_oof_std,upper_envelope_share,upper_envelope_share_oof,selected_expert,selected_expert_count,selector_model,selected_parent,use_transfer,selected_selector_rmse,selector_gain_vs_no_tl,selector_gain_vs_no_tl_oof
29366,22059,0.33681178,73,0.018530813708730467,0.10866611596734758,0.33681178,-0.32446086,0.13111684300000007,0.18447395,65,-0.5126103143254604,0.9478843023360531,-0.014652435,0.13378441,-0.009811239,0.16033223,-0.011479724,0.15229672,10.621982003833043,0.3782116921884962,-0.3346906734372438,-0.48555037668541523,215,0.31020077333333335,0.023572861876677863,0.302242414,0.019923152555842642,0.290173075,0.01882395499306208,1.2081149,1.1545358,1.186639712895815,1.1055787,1.1641657,13,0.5923545,0.26702282,0.6174641,0.20171264,0.6153846153846154,0.6153846153846154,Deep Context LSTM (No TL),5,hgb_env,Deep Context LSTM (No TL),False,1.1055787,-0.1025362,-0.043949127
29373,36514,0.29503244,72,-0.0025929838148828124,0.08042077847614454,0.29503244,-0.26207805,0.09686355060000001,0.14105059599999997,64,0.1367213661136677,0.9121370344837563,-0.021276198,0.1415474,-0.020688897,0.179006,-0.017650532,0.15800723,9.193489099598569,0.11952165804960281,0.6413904064582592,0.0462211764103156,51777,0.25277384333333336,0.03867884705359036,0.226978342,0.04470492870172396,0.20350567599999997,0.03880325236740953,0.98860687,0.9833932,1.1805815006153968,0.9906253,1.0461028,11,0.5772672,0.23277454,0.49489737,0.15672556,0.6363636363636364,0.45454545454545453,Deep Context LSTM (Always TL),5,hgb_env,Deep Context LSTM (Always TL),True,0.9906253,0.0020184517,0.057495892
29419,67575,0.2343009,75,0.014379165179707032,0.07249596704499282,0.2343009,-0.17198019,0.11452531690000001,0.1354017755,67,0.17404888705632784,0.75153007206956,-0.015865706,0.14517559,-0.010815582,0.17397304,-0.03746371,0.1579565,10.608701388199227,0.3713486666144552,0.03571962879153184,-0.628432005099146,338,0.22310165666666668,0.012410536445272355,0.21073769000000003,0.01923128989279191,0.19505915899999998,0.020972518883934477,0.6173274,0.5907719,0.6638616412742706,0.60215074,0.6142824,12,0.55336016,0.18517515,0.6126517,0.14653161,0.6666666666666666,0.75,Random Forest,6,hgb_env,Random Forest,False,0.60215074,-0.015176654,-0.0030449629
29465,36509,0.41363707,33,-0.001289934289941406,0.1623402645759107,0.41363707,-0.34964636,0.21956208100000005,0.28237066699999996,25,0.4701600233214783,0.7204565413076698,-0.0063008647,0.1603376,-0.06280904,0.14811312,-0.02453611,0.15748696,11.056880239931449,0.0557423794298483,0.02476283485245485,-0.6762688503689842,158,0.40789108333333335,0.0055292790634071925,0.397342784,0.015146098914606013,0.37778791300000003,0.023344696526134884,0.5064413,0.48664328,0.43088231213257333,0.39679062,0.45388082,8,0.6246655,0.15226528,0.39460066,0.080340534,0.875,0.125,Random Forest,6,hgb_env,Random Forest,False,0.39679062,-0.10965067,-0.05256048
29476,7658,0.28703186,71,0.023219051811777344,0.08796314746838417,0.28703186,-0.22403647,0.13537298300000003,0.17003344799999998,63,-0.23098173618756346,2.673806554714552,-0.014745044,0.15292425,-0.012839974,0.16337168,-0.018349182,0.14923425,13.351640754370152,0.26636673308306735,1.0784227847870338,-1.894025032146452,30739,0.2789258866666667,0.008611924001669635,0.274378932,0.008833397015357132,0.258053226,0.020204779641206577,0.42646468,0.16799355,0.24703704315637812,0.19362482,0.26858312,1,0.09916494,0.0,0.38917145,0.0,0.0,0.0,Deep Context LSTM (Always TL),1,hgb_env,Deep Context LSTM (Always TL),True,0.19362482,-0.23283985,-0.15788156
29532,62400,0.38090703,68,-0.007628708436835937,0.13819771780050832,0.38090703,-0.42935947,0.14931169800000002,0.20267514349999993,60,-0.19240660510071075,0.9332324616221034,-0.027681274,0.12295715,-0.0091707,0.16922496,-0.03000609,0.15196371,10.901900355550241,0.4896931196420321,0.4708806514013143,0.13133134134085928,183,0.36063225000000004,0.027036647748794614,0.34664792,0.027199099145848574,0.318266214,0.03576916897359859,0.7408792,0.7839522,0.7917464952756361,0.7226196,0.7495026,13,0.5792159,0.26341715,0.58673465,0.14718334,0.46153846153846156,0.7692307692307693,Random Forest,7,hgb_env,Random Forest,False,0.7226196,-0.018259585,0.008623421
29570,154276,0.27907047,74,0.04135604024939453,0.09643619465104983,0.27907047,-0.2695568,0.16537573600000016,0.190124208,66,0.03263617225227762,0.36317650727107087,-0.014635464,0.12072618,-0.012530616,0.16126296,-0.013594895,0.15689422,10.916370087187602,0.47944744689901925,0.058289943477267486,0.7776251427723015,239,0.27680018666666667,0.00325030716955081,0.267287886,0.014657184775540287,0.24675719,0.024731212314732975,0.7057899,0.8326631,0.5747217872629359,0.6328892,0.6685779,9,0.636935,0.20012082,0.60268825,0.14313865,0.7777777777777778,0.6666666666666666,Random Forest,6,hgb_env,Random Forest,False,0.6328892,-0.07290071,-0.037212014
29599,82879,0.22535819,75,0.011793465506582031,0.07936916637571743,0.22535819,-0.26242724,0.11525690460000006,0.1393708575,67,-0.4609866750201417,0.6811335728441965,-0.005930837,0.13685253,-0.008964055,0.16778076,-0.027176425,0.15082994,12.436398281850908,0.0010098257277403647,1.0528650488177043,0.9938515842887805,272,0.21642519666666668,0.009538188043487775,0.20655614,0.016115687868893454,0.188663196,0.02203565281854395,0.8112853,0.8555283,0.8186358803856462,0.7696949,0.7912683,14,0.44879982,0.2962304,0.60722923,0.23090866,0.42857142857142855,0.6428571428571429,Deep Context LSTM (No TL),6,hgb_env,Deep Context LSTM (No TL),False,0.7696949,-0.041590393,-0.020017028
29680,28977,0.39026245,75,0.03476135129015625,0.10659335500090206,0.39026245,-0.30173537,0.17485273500000015,0.2381775035,67,-0.1371482711480517,0.8789009878321574,-0.021960594,0.1375398,0.0076477067,0.1943153,-0.05016551,0.1540608,10.543852944701602,0.3559900239690007,-0.14315523695296542,-0.48557547969929593,162,0.3713491066666667,0.016878569925370866,0.35535928,0.025863727210349043,0.32902404,0.0335800504569722,0.6676183,0.6419399,0.7159690894006155,0.64277446,0.7029002,11,0.25929654,0.18898217,0.6216114,0.24460158,0.09090909090909091,0.6363636363636364,Deep Context LSTM (Always TL),5,hgb_env,Deep Context LSTM (Always TL),True,0.64277446,-0.024843812,0.035281897
29708,60735,0.1594778,71,0.0016926635653515625,0.06025346635679342,0.1594778,-0.19917452,0.07943947440000003,0.10265109124999998,63,0.18812761534853306,0.913372529554153,-0.014315718,0.12496689,-0.025438886,0.18602423,-0.028192207,0.15616442,9.137754667601435,0.12063371182834622,0.6023996063514249,-0.20093114071291335,168,0.15088960333333334,0.007636703596188184,0.148168736,0.006574458365076937,0.140945764,0.00997561183356935,0.84994715,0.84112996,0.9166715223286844,0.8226205,0.84144974,14,0.62841177,0.22892253,0.70226425,0.17767204,0.7142857142857143,0.9285714285714286,Deep Context LSTM (Always TL),5,hgb_env,Deep Context LSTM (Always TL),True,0.8226205,-0.027326643,-0.008497417
29740,69646,0.320812,42,-0.035156858077734374,0.1166910946590794,0.320812,-0.33067593,0.1137054240000001,0.15903211099999998,34,-0.29880603829176045,1.6581693455696633,-0.01909015,0.1323635,-0.046316247,0.14003968,0.015819523,0.1528294,10.868591721852292,0.3424146345053925,-0.30014201865678064,-0.5690136485271765,4471,0.28118616,0.042102200689646825,0.26099058799999997,0.04066073011482169,0.24032024899999999,0.03521388672962647,1.4316267,1.3597112,1.451716061797602,1.3627852,1.379464,13,0.55826,0.21711244,0.5556724,0.3028133,0.6923076923076923,0.5384615384615384,Deep Context LSTM (Always TL),5,hgb_env,Deep Context LSTM (Always TL),True,1.3627852,-0.06884146,-0.052162647
