model_family,split,rmse,mae,r2,n,budget_label,budget_windows_per_site,effective_train_windows_total,mean_train_windows_per_site,median_train_windows_per_site
Context-Aware Selective Learning,test,1.2947300097065286,0.8964994549751282,0.18772739171981812,2076,48,48.0,3926,38.490196078431374,48.0
Site-Hard Expert Selector,test,1.3054103246801916,0.9048223390478822,0.17427110592762818,2076,48,48.0,3926,38.490196078431374,48.0
Deep Context LSTM (Always TL),test,1.3444549574366516,0.9608731865882874,0.12413758039474487,2076,48,48.0,3926,38.490196078431374,48.0
Deep Context LSTM (No TL),test,1.3624225961939314,0.9722574353218079,0.1005706787109375,2076,48,48.0,3926,38.490196078431374,48.0
Baseline LSTM (No TL),test,1.4361615791692568,0.9693079590797424,0.0005755424499511719,2076,48,48.0,3926,38.490196078431374,48.0
Baseline LSTM (TL),test,1.4467230434829874,0.9789686799049377,-0.014177918434143066,2076,48,48.0,3926,38.490196078431374,48.0
Context-Aware Selective Learning,val,1.229433235530682,0.8566339612007141,0.18433696031570435,1766,48,48.0,3926,38.490196078431374,48.0
Deep Context LSTM (Always TL),val,1.2311873986455093,0.8719589114189148,0.18200773000717163,1766,48,48.0,3926,38.490196078431374,48.0
Site-Hard Expert Selector,val,1.2369166854841949,0.874917235160404,0.17437705525744607,1766,48,48.0,3926,38.490196078431374,48.0
Deep Context LSTM (No TL),val,1.2403500961022573,0.8783525824546814,0.16978716850280762,1766,48,48.0,3926,38.490196078431374,48.0
Random Forest,val,1.2670507436914744,0.880865390905895,0.13365898793728792,1766,48,48.0,3926,38.490196078431374,48.0
Baseline LSTM (TL),val,1.3785758338550063,0.9757702350616455,-0.025562644004821777,1766,48,48.0,3926,38.490196078431374,48.0
Baseline LSTM (No TL),val,1.3786041101652033,0.9743924140930176,-0.025604724884033203,1766,48,48.0,3926,38.490196078431374,48.0
Context-Aware Selective Learning,cal,1.1075472752317026,0.729684054851532,0.21998637914657593,1292,72,72.0,5319,52.14705882352941,65.0
Site-Hard Expert Selector,cal,1.1648181114554295,0.8027997083454536,0.1372323410483205,1292,72,72.0,5319,52.14705882352941,65.0
Deep Context LSTM (Always TL),cal,1.2324362873377275,0.8760097026824951,0.0341569185256958,1292,72,72.0,5319,52.14705882352941,65.0
Deep Context LSTM (No TL),cal,1.2325554003074122,0.8772059679031372,0.0339701771736145,1292,72,72.0,5319,52.14705882352941,65.0
Random Forest,cal,1.2330286508210992,0.8627888048708883,0.03322822271883874,1292,72,72.0,5319,52.14705882352941,65.0
Baseline LSTM (TL),cal,1.2619632448626534,0.8963747620582581,-0.012677192687988281,1292,72,72.0,5319,52.14705882352941,65.0
Baseline LSTM (No TL),cal,1.2637833276385728,0.9015420079231262,-0.015600442886352539,1292,72,72.0,5319,52.14705882352941,65.0
Context-Aware Selective Learning,test,1.2819021472632304,0.882028341293335,0.20374321937561035,2076,72,72.0,5319,52.14705882352941,65.0
Random Forest,test,1.289997330145441,0.8834236209123653,0.19365477563146105,2076,72,72.0,5319,52.14705882352941,65.0
Site-Hard Expert Selector,test,1.2912570948463928,0.8932352225107892,0.19207911151803836,2076,72,72.0,5319,52.14705882352941,65.0
Deep Context LSTM (Always TL),test,1.313466306738539,0.923642635345459,0.16404813528060913,2076,72,72.0,5319,52.14705882352941,65.0
Deep Context LSTM (No TL),test,1.3322367579538816,0.9452615976333618,0.1399846076965332,2076,72,72.0,5319,52.14705882352941,65.0
Baseline LSTM (No TL),test,1.4383710626992674,0.9704905152320862,-0.0025020837783813477,2076,72,72.0,5319,52.14705882352941,65.0
Baseline LSTM (TL),test,1.4459050793761234,0.9764751195907593,-0.013031482696533203,2076,72,72.0,5319,52.14705882352941,65.0
Context-Aware Selective Learning,val,1.2248182590117778,0.8571232557296753,0.19044911861419678,1766,72,72.0,5319,52.14705882352941,65.0
Deep Context LSTM (Always TL),val,1.2323099560104573,0.8695324659347534,0.18051540851593018,1766,72,72.0,5319,52.14705882352941,65.0
Deep Context LSTM (No TL),val,1.2383750133936033,0.8760940432548523,0.17242908477783203,1766,72,72.0,5319,52.14705882352941,65.0
Site-Hard Expert Selector,val,1.2445340862070022,0.8721782863528426,0.16417674634304513,1766,72,72.0,5319,52.14705882352941,65.0
Random Forest,val,1.2578410601383292,0.8801755196650476,0.14620738748400486,1766,72,72.0,5319,52.14705882352941,65.0
Baseline LSTM (No TL),val,1.3808011875006032,0.9758915901184082,-0.028876304626464844,1766,72,72.0,5319,52.14705882352941,65.0
Baseline LSTM (TL),val,1.3842546948929781,0.9791743159294128,-0.034029364585876465,1766,72,72.0,5319,52.14705882352941,65.0
